No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,07/01/2025,Vente,46800000,,,,B078,FARGES,1550,FARGES,1,158,,B,815,,,,,,,,,,,,0,,,,,,J,,78
1,07/01/2025,Vente,46800000,454,,RUE,90,DE LA REPUBLIQUE,1550,FARGES,1,158,,B,910,,,,,,,,,,,,0,1,Maison,,111,5,S,,133
1,07/01/2025,Vente,46800000,454,,RUE,90,DE LA REPUBLIQUE,1550,FARGES,1,158,,B,910,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,133
1,06/01/2025,Vente,18000000,,,,B158,LE VILLAGE,1200,MONTANGES,1,257,,AC,334,,,,,,,,,,,,0,,,,,,S,,46
1,06/01/2025,Vente,18000000,,,,B158,LE VILLAGE,1200,MONTANGES,1,257,,AC,338,,,,,,,,,,,,0,,,,,,J,,17
1,06/01/2025,Vente,18000000,66,,RUE,50,DE LA FRUITIERE,1200,MONTANGES,1,257,,AC,341,,,,,,,,,,,,0,2,Appartement,,87,4,S,,76
1,06/01/2025,Vente,49000000,,,,B060,PETIT CORGENON,1310,BUELLAS,1,65,,B,176,,,,,,,,,,,,0,,,,,,S,,415
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,500
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,500
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,1,Maison,,190,6,S,,500
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,500
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,AG,,2452
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,AG,,2452
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,1,Maison,,190,6,AG,,2452
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,500
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,AG,,2452
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1705,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,AG,,2452
1,06/01/2025,Vente,49000000,459,B,CHE,356,DU PETIT CORGENON,1310,BUELLAS,1,65,,B,1707,,,,,,,,,,,,0,,,,,,S,,270
1,09/01/2025,Vente,18300000,,,AV,41,DE BELLE FERME,1170,GEX,1,173,,AH,194,,401,1200,,,,,,,,,1,3,D¨¦pendance,,0,0,,,
1,09/01/2025,Vente,18300000,250,,AV,41,DE BELLE FERME,1170,GEX,1,173,,AH,194,,254,1309,,,,,,,,,1,3,D¨¦pendance,,0,0,,,
1,09/01/2025,Vente,18300000,250,,AV,41,DE BELLE FERME,1170,GEX,1,173,,AH,194,,218,3574,,,,,,,,,1,2,Appartement,,35,2,,,
1,07/01/2025,Vente,29500000,129,,RTE,800,DE LA FRAZE,1990,BANEINS,1,28,,C,162,,,,,,,,,,,,0,1,Maison,,95,2,S,,965
1,07/01/2025,Vente,29500000,,,,B001,LES BAGES,1990,BANEINS,1,28,,ZB,99,,,,,,,,,,,,0,,,,,,AG,,143
1,07/01/2025,Vente,29500000,,,,B001,LES BAGES,1990,BANEINS,1,28,,ZB,100,,,,,,,,,,,,0,,,,,,AG,,197
1,06/01/2025,Vente en l'¨¦tat futur d'ach¨¨vement,54351000,,,,B005,PAIMBOEUF,1210,FERNEY-VOLTAIRE,1,160,,AO,226,,121,,,,,,,,,,1,,,,,,,,
1,06/01/2025,Vente en l'¨¦tat futur d'ach¨¨vement,54351000,,,,B005,PAIMBOEUF,1210,FERNEY-VOLTAIRE,1,160,,AO,226,,70,7910,,,,,,,,,1,,,,,,,,
1,08/01/2025,Vente,13193730,62,,CHE,950,DU PEUPLE,1330,AMBERIEUX-EN-DOMBES,1,5,,AC,291,,90,,,,,,,,,,1,3,D¨¦pendance,,0,0,,,
1,08/01/2025,Vente,13193730,62,,CHE,950,DU PEUPLE,1330,AMBERIEUX-EN-DOMBES,1,5,,AC,291,,1,,,,,,,,,,1,2,Appartement,,49,2,,,
1,09/01/2025,Vente,17300000,5270,,,B006,GRAND FAUBOURG,1290,PONT-DE-VEYLE,1,306,,A,1292,,1,,,,,,,,,,1,3,D¨¦pendance,,0,0,,,
1,09/01/2025,Vente,17300000,5338,,,B006,GRAND FAUBOURG,1290,PONT-DE-VEYLE,1,306,,A,1294,,1,7891,,,,,,,,,1,2,Appartement,,78,3,,,
1,06/01/2025,Vente,42500000,64,,CHE,180,DE L' ETANG RATIER,1390,RANCE,1,318,,A,950,,,,,,,,,,,,0,1,Maison,,110,5,S,,500
1,06/01/2025,Vente,42500000,64,,CHE,180,DE L' ETANG RATIER,1390,RANCE,1,318,,A,950,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,500
1,06/01/2025,Vente,42500000,64,,CHE,180,DE L' ETANG RATIER,1390,RANCE,1,318,,A,950,,,,,,,,,,,,0,1,Maison,,110,5,AG,,777
1,06/01/2025,Vente,42500000,64,,CHE,180,DE L' ETANG RATIER,1390,RANCE,1,318,,A,950,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,AG,,777
1,09/01/2025,Vente,116500000,171,,RUE,245,DES MORILLES,1710,THOIRY,1,419,,BT,214,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,860
1,09/01/2025,Vente,116500000,171,,RUE,245,DES MORILLES,1710,THOIRY,1,419,,BT,214,,,,,,,,,,,,0,1,Maison,,190,5,S,,860
1,09/01/2025,Vente,116500000,171,,RUE,245,DES MORILLES,1710,THOIRY,1,419,,BT,214,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,860
2,07/01/2025,Vente,63000000,390,,RUE,142,VIE CREUSE,1550,POUGNY,1,308,,B,1495,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,761
2,07/01/2025,Vente,63000000,390,,RUE,142,VIE CREUSE,1550,POUGNY,1,308,,B,1495,,,,,,,,,,,,0,1,Maison,,100,3,S,,761
1,09/01/2025,Vente,657000,,,,B042,SUR LA COTE,1250,SIMANDRE-SUR-SURAN,1,408,,E,204,,,,,,,,,,,,0,,,,,,L,FRICH,748
1,09/01/2025,Vente,657000,,,,B042,SUR LA COTE,1250,SIMANDRE-SUR-SURAN,1,408,,E,205,,,,,,,,,,,,0,,,,,,L,FRICH,1650
1,09/01/2025,Vente,657000,,,,B098,LONGS CHAMPS,1250,SIMANDRE-SUR-SURAN,1,408,,E,509,,,,,,,,,,,,0,,,,,,T,,3327
1,09/01/2025,Vente,657000,,,,B141,A LA RONGE,1250,SIMANDRE-SUR-SURAN,1,408,,E,534,,,,,,,,,,,,0,,,,,,T,,6019
1,09/01/2025,Vente,657000,,,,B141,A LA RONGE,1250,SIMANDRE-SUR-SURAN,1,408,,E,535,,,,,,,,,,,,0,,,,,,T,,3672
1,09/01/2025,Vente,657000,,,,B141,A LA RONGE,1250,SIMANDRE-SUR-SURAN,1,408,,E,536,,,,,,,,,,,,0,,,,,,T,,9721
1,09/01/2025,Vente,31400000,110,,RUE,1984,JEAN LOUIS MASSOT,1000,BOURG-EN-BRESSE,1,53,,CD,311,,,,,,,,,,,,0,1,Maison,,144,6,S,,983
1,09/01/2025,Vente,31400000,110,,RUE,1984,JEAN LOUIS MASSOT,1000,BOURG-EN-BRESSE,1,53,,CD,311,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,983
1,06/01/2025,Vente,41466500,124,,CHE,32,DE CHAMP JOURNET,1630,CHALLEX,1,78,,B,218,,11,6571,21,,,,,,,,2,3,D¨¦pendance,,0,0,,,
1,06/01/2025,Vente,41466500,124,,CHE,32,DE CHAMP JOURNET,1630,CHALLEX,1,78,,B,218,,64,,,,,,,,,,1,3,D¨¦pendance,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
